file,frame_count,frame_last,lost_frame_count
1,61,61,0
2,61,61,0
3,60,60,0
4,61,61,0
5,60,60,0
6,61,61,0
7,61,61,0
8,60,60,0
9,61,61,0
10,61,61,0
11,75,75,0
12,61,61,0
13,61,61,0
14,61,61,0
15,61,61,0
16,60,60,0
17,54,54,0
18,61,61,0
19,60,60,0
20,61,61,0
21,60,60,0
22,61,61,0
23,60,60,0
24,61,61,0
25,60,60,0
26,61,61,0
27,61,61,0
28,62,62,0
29,61,61,0
30,60,60,0
31,61,61,0
32,61,61,0
33,61,61,0
34,61,61,0
35,61,61,0
36,61,61,0
37,60,60,0
38,60,60,0
39,61,61,0
40,61,61,0
41,61,61,0
42,61,61,0
43,61,61,0
44,60,60,0
45,61,61,0
46,61,61,0
47,60,60,0
48,61,61,0
49,61,61,0
50,61,61,0
51,61,61,0
52,61,61,0
53,60,60,0
54,61,61,0
55,61,61,0
56,61,61,0
57,60,60,0
58,61,61,0
59,55,55,0
60,57,57,0
61,55,55,0
62,61,61,0
63,61,61,0
64,61,61,0
65,61,61,0
66,60,60,0
67,77,77,0
68,74,74,0
69,79,79,0
70,75,75,0
71,61,61,0
72,61,61,0
73,61,61,0
74,60,60,0
75,60,60,0
76,61,61,0
77,61,61,0
78,80,80,0
79,53,53,0
80,61,61,0
81,60,60,0
82,61,61,0
83,74,74,0
84,70,70,0
85,71,71,0
86,73,73,0
87,60,60,0
88,61,61,0
89,65,65,0
90,61,61,0
